Wed Jul 22 01:26:52 2015    server_profile

         6002727 function calls (5995221 primitive calls) in 24.428 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      835    0.019    0.000    0.078    0.000 /usr/lib/python3.4/inspect.py:2379(from_function)
        1    0.000    0.000    0.077    0.077 /usr/lib/python3.4/site-packages/matplotlib/axes/__init__.py:1(<module>)
       11    0.007    0.001    0.077    0.007 /usr/lib/python3.4/site-packages/matplotlib/artist.py:957(_get_setters_and_targets)
   148/60    0.000    0.000    0.077    0.001 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:548(get_xaxis_transform)
      476    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap>:1934(find_spec)
        1    0.000    0.000    0.076    0.076 /usr/lib/python3.4/site-packages/matplotlib/axes/_subplots.py:1(<module>)
      476    0.005    0.000    0.075    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        1    0.000    0.000    0.072    0.072 /usr/lib/python3.4/site-packages/scipy/special/__init__.py:582(<module>)
        1    0.000    0.000    0.072    0.072 /usr/lib/python3.4/site-packages/matplotlib/backends/__init__.py:18(pylab_setup)
        1    0.000    0.000    0.071    0.071 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:3(<module>)
        1    0.000    0.000    0.070    0.070 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5agg.py:3(<module>)
       99    0.005    0.000    0.067    0.001 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:619(_construct_argparser)
      221    0.002    0.000    0.067    0.000 /usr/lib/python3.4/re.py:277(_compile)
   200000    0.066    0.000    0.066    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/objects_revised.py:146(updBusy)
        1    0.003    0.003    0.065    0.065 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5.py:1(<module>)
      727    0.017    0.000    0.065    0.000 <frozen importlib._bootstrap>:2016(find_spec)
       82    0.000    0.000    0.065    0.001 /usr/lib/python3.4/re.py:221(compile)
       88    0.001    0.000    0.065    0.001 /usr/lib/python3.4/sre_compile.py:563(compile)
        1    0.000    0.000    0.061    0.061 /usr/lib/python3.4/site-packages/scipy/optimize/_root.py:7(<module>)
        1    0.000    0.000    0.060    0.060 /usr/lib/python3.4/site-packages/matplotlib/backends/qt_editor/figureoptions.py:8(<module>)
      974    0.059    0.000    0.059    0.000 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:763(_argcheck)
        1    0.000    0.000    0.059    0.059 /usr/lib/python3.4/site-packages/matplotlib/backends/qt_editor/formlayout.py:34(<module>)
        1    0.000    0.000    0.059    0.059 /usr/lib/python3.4/site-packages/scipy/optimize/nonlin.py:110(<module>)
        1    0.000    0.000    0.058    0.058 /usr/lib/python3.4/site-packages/scipy/special/basic.py:5(<module>)
        1    0.001    0.001    0.058    0.058 /usr/lib/python3.4/site-packages/matplotlib/backends/qt_compat.py:2(<module>)
        1    0.000    0.000    0.057    0.057 /usr/lib/python3.4/urllib/request.py:68(<module>)
        1    0.000    0.000    0.057    0.057 /usr/lib/python3.4/site-packages/numpy/testing/__init__.py:7(<module>)
        1    0.001    0.001    0.057    0.057 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5.py:452(__init__)
        1    0.000    0.000    0.056    0.056 /usr/lib/python3.4/site-packages/scipy/special/orthogonal.py:79(<module>)
        1    0.000    0.000    0.055    0.055 /usr/lib/python3.4/site-packages/scipy/linalg/__init__.py:155(<module>)
        1    0.054    0.054    0.054    0.054 {built-in method statusBar}
        1    0.000    0.000    0.050    0.050 /usr/lib/python3.4/site-packages/matplotlib/axes/_axes.py:1(<module>)
        1    0.000    0.000    0.049    0.049 /usr/lib/python3.4/http/client.py:67(<module>)
      835    0.004    0.000    0.048    0.000 /usr/lib/python3.4/inspect.py:2328(__init__)
        1    0.000    0.000    0.048    0.048 /usr/lib/python3.4/site-packages/matplotlib/widgets.py:10(<module>)
        1    0.000    0.000    0.046    0.046 /usr/lib/python3.4/site-packages/matplotlib/textpath.py:3(<module>)
        1    0.000    0.000    0.045    0.045 /usr/lib/python3.4/site-packages/matplotlib/contour.py:4(<module>)
      840    0.009    0.000    0.044    0.000 /usr/lib/python3.4/collections/__init__.py:41(__init__)
    16/12    0.000    0.000    0.043    0.004 /usr/lib/python3.4/site-packages/matplotlib/axis.py:1959(_get_tick)
        1    0.000    0.000    0.039    0.039 /usr/lib/python3.4/email/parser.py:5(<module>)
       14    0.000    0.000    0.039    0.003 /usr/lib/python3.4/site-packages/numpy/core/getlimits.py:93(__new__)
        1    0.000    0.000    0.039    0.039 /usr/lib/python3.4/site-packages/scipy/linalg/decomp_schur.py:1(<module>)
        2    0.000    0.000    0.039    0.019 /usr/lib/python3.4/site-packages/numpy/core/getlimits.py:126(_init)
        2    0.000    0.000    0.039    0.019 /usr/lib/python3.4/site-packages/numpy/core/machar.py:97(__init__)
        2    0.011    0.006    0.038    0.019 /usr/lib/python3.4/site-packages/numpy/core/machar.py:113(_do_init)
       88    0.001    0.000    0.038    0.000 /usr/lib/python3.4/sre_parse.py:750(parse)
     5418    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.038    0.038 /usr/lib/python3.4/email/feedparser.py:20(<module>)
        1    0.000    0.000    0.037    0.037 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:480(_init_axis)
        1    0.000    0.000    0.036    0.036 /usr/lib/python3.4/unittest/__init__.py:45(<module>)
      218    0.021    0.000    0.036    0.000 /usr/lib/python3.4/site-packages/scipy/misc/doccer.py:128(indentcount_lines)
   217/88    0.001    0.000    0.036    0.000 /usr/lib/python3.4/sre_parse.py:363(_parse_sub)
        1    0.000    0.000    0.035    0.035 /usr/lib/python3.4/site-packages/scipy/stats/_discrete_distns.py:5(<module>)
   269/99    0.011    0.000    0.035    0.000 /usr/lib/python3.4/sre_parse.py:441(_parse)
     1957    0.005    0.000    0.035    0.000 /usr/lib/python3.4/site-packages/numpy/core/fromnumeric.py:1852(all)
      841    0.010    0.000    0.034    0.000 /usr/lib/python3.4/_collections_abc.py:575(update)
       13    0.001    0.000    0.034    0.003 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:2559(__init__)
        1    0.000    0.000    0.032    0.032 /usr/lib/python3.4/email/message.py:5(<module>)
     6134    0.029    0.000    0.029    0.000 {built-in method array}
       22    0.001    0.000    0.028    0.001 /usr/lib/python3.4/collections/__init__.py:301(namedtuple)
        1    0.000    0.000    0.028    0.028 /usr/lib/python3.4/site-packages/scipy/sparse/__init__.py:203(<module>)
     2024    0.004    0.000    0.026    0.000 /usr/lib/python3.4/site-packages/numpy/core/fromnumeric.py:1772(any)
        1    0.000    0.000    0.025    0.025 /usr/lib/python3.4/site-packages/pyparsing.py:58(<module>)
       88    0.000    0.000    0.025    0.000 /usr/lib/python3.4/sre_compile.py:548(_code)
        1    0.000    0.000    0.025    0.025 /usr/lib/python3.4/site-packages/scipy/sparse/linalg/__init__.py:105(<module>)
      200    0.001    0.000    0.024    0.000 /usr/lib/python3.4/site-packages/matplotlib/markers.py:229(set_marker)
        1    0.000    0.000    0.024    0.024 /usr/lib/python3.4/site-packages/matplotlib/patches.py:3(<module>)
     6192    0.024    0.000    0.024    0.000 {method 'splitlines' of 'str' objects}
      367    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:1099(create)
      531    0.023    0.000    0.023    0.000 {built-in method print}
        1    0.000    0.000    0.023    0.023 /usr/lib/python3.4/email/utils.py:5(<module>)
     4001    0.006    0.000    0.023    0.000 /usr/lib/python3.4/site-packages/numpy/core/numeric.py:464(asanyarray)
        4    0.000    0.000    0.023    0.006 /usr/lib/python3.4/site-packages/matplotlib/spines.py:148(register_axis)
        1    0.000    0.000    0.022    0.022 /usr/lib/python3.4/site-packages/matplotlib/text.py:3(<module>)
     2418    0.003    0.000    0.022    0.000 {method 'all' of 'numpy.ndarray' objects}
     3760    0.008    0.000    0.021    0.000 <frozen importlib._bootstrap>:50(_path_join)
        1    0.000    0.000    0.021    0.021 /usr/lib/python3.4/site-packages/matplotlib/font_manager.py:21(<module>)
       99    0.001    0.000    0.020    0.000 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:611(__init__)
      453    0.003    0.000    0.019    0.000 /usr/lib/python3.4/site-packages/matplotlib/path.py:103(__init__)
     2418    0.002    0.000    0.019    0.000 /usr/lib/python3.4/site-packages/numpy/core/_methods.py:40(_all)
15879/15878    0.011    0.000    0.018    0.000 {built-in method isinstance}
   458/88    0.005    0.000    0.018    0.000 /usr/lib/python3.4/sre_compile.py:70(_compile)
      367    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
        1    0.000    0.000    0.018    0.018 /usr/lib/python3.4/site-packages/numpy/testing/utils.py:4(<module>)
        1    0.000    0.000    0.017    0.017 /usr/lib/python3.4/unittest/case.py:1(<module>)
      368    0.011    0.000    0.017    0.000 <frozen importlib._bootstrap>:1621(get_data)
     1711    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:68(_path_stat)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.4/inspect.py:27(<module>)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.4/site-packages/matplotlib/dates.py:111(<module>)
      974    0.003    0.000    0.016    0.000 /usr/lib/python3.4/site-packages/numpy/core/fromnumeric.py:1726(product)
    76888    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
    16/14    0.000    0.000    0.016    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:528(_get_tick1line)
     4030    0.004    0.000    0.016    0.000 /usr/lib/python3.4/sre_parse.py:220(get)
        1    0.000    0.000    0.015    0.015 /usr/lib/python3.4/site-packages/matplotlib/ticker.py:143(<module>)
    16/14    0.000    0.000    0.015    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:544(_get_tick2line)
      100    0.000    0.000    0.015    0.000 /usr/lib/python3.4/site-packages/matplotlib/lines.py:972(set_marker)
11158/11149    0.013    0.000    0.015    0.000 {method 'join' of 'str' objects}
    40000    0.015    0.000    0.015    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/objects_revised.py:116(updBusy)
     1740    0.015    0.000    0.015    0.000 {built-in method stat}
     4609    0.012    0.000    0.014    0.000 /usr/lib/python3.4/sre_parse.py:195(__next)
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.4/site-packages/matplotlib/artist.py:1(<module>)
      100    0.000    0.000    0.013    0.000 /usr/lib/python3.4/site-packages/matplotlib/lines.py:452(set_fillstyle)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.4/site-packages/matplotlib/font_manager.py:955(pickle_load)
        2    0.000    0.000    0.013    0.007 /usr/lib/python3.4/site-packages/matplotlib/axis.py:625(__init__)
        1    0.013    0.013    0.013    0.013 {built-in method load}
        6    0.000    0.000    0.013    0.002 server_profile.py:105(updateSpare)
      734    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.4/site-packages/matplotlib/lines.py:4(<module>)
      506    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:261(__enter__)
     6199    0.012    0.000    0.012    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.012    0.012 /usr/lib/python3.4/site-packages/scipy/sparse/linalg/isolve/__init__.py:1(<module>)
     2024    0.002    0.000    0.012    0.000 {method 'any' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.012    0.003 /usr/lib/python3.4/site-packages/matplotlib/axes/_axes.py:1242(plot)
        1    0.000    0.000    0.012    0.012 /usr/lib/python3.4/decimal.py:113(<module>)
      453    0.005    0.000    0.012    0.000 /usr/lib/python3.4/site-packages/matplotlib/path.py:199(_update_values)
        6    0.001    0.000    0.011    0.002 /usr/lib/python3.4/site-packages/matplotlib/patches.py:1703(_pprint_styles)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.4/site-packages/scipy/sparse/csr.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.4/site-packages/numpy/core/numeric.py:1(<module>)
7948/7942    0.011    0.000    0.011    0.000 {built-in method hasattr}
   148/60    0.000    0.000    0.011    0.000 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:625(get_yaxis_transform)
     3760    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
       22    0.000    0.000    0.011    0.000 /usr/lib/python3.4/site-packages/matplotlib/artist.py:560(set_clip_path)
      152    0.001    0.000    0.011    0.000 /usr/lib/python3.4/sre_compile.py:227(_compile_charset)
        6    0.000    0.000    0.011    0.002 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:1055(rc_params_from_file)
       16    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:1812(__init__)
