Wed Jul 22 01:14:38 2015    server_profile

         1013272 function calls (1005766 primitive calls) in 4.904 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5386    0.037    0.000    0.037    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.036    0.036 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:480(_init_axis)
        1    0.000    0.000    0.036    0.036 /usr/lib/python3.4/unittest/__init__.py:45(<module>)
   217/88    0.002    0.000    0.036    0.000 /usr/lib/python3.4/sre_parse.py:363(_parse_sub)
      218    0.021    0.000    0.035    0.000 /usr/lib/python3.4/site-packages/scipy/misc/doccer.py:128(indentcount_lines)
   269/99    0.011    0.000    0.035    0.000 /usr/lib/python3.4/sre_parse.py:441(_parse)
        1    0.000    0.000    0.035    0.035 /usr/lib/python3.4/site-packages/scipy/stats/_discrete_distns.py:5(<module>)
     1937    0.005    0.000    0.034    0.000 /usr/lib/python3.4/site-packages/numpy/core/fromnumeric.py:1852(all)
      841    0.010    0.000    0.034    0.000 /usr/lib/python3.4/_collections_abc.py:575(update)
       13    0.001    0.000    0.034    0.003 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:2559(__init__)
        1    0.000    0.000    0.032    0.032 /usr/lib/python3.4/email/message.py:5(<module>)
     6104    0.030    0.000    0.030    0.000 {built-in method array}
       22    0.001    0.000    0.028    0.001 /usr/lib/python3.4/collections/__init__.py:301(namedtuple)
     2024    0.005    0.000    0.028    0.000 /usr/lib/python3.4/site-packages/numpy/core/fromnumeric.py:1772(any)
        1    0.000    0.000    0.028    0.028 /usr/lib/python3.4/site-packages/scipy/sparse/__init__.py:203(<module>)
       88    0.000    0.000    0.025    0.000 /usr/lib/python3.4/sre_compile.py:548(_code)
        1    0.000    0.000    0.025    0.025 /usr/lib/python3.4/site-packages/pyparsing.py:58(<module>)
        1    0.000    0.000    0.025    0.025 /usr/lib/python3.4/site-packages/scipy/sparse/linalg/__init__.py:105(<module>)
        1    0.000    0.000    0.024    0.024 /usr/lib/python3.4/site-packages/matplotlib/patches.py:3(<module>)
     6192    0.023    0.000    0.023    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.023    0.023 /usr/lib/python3.4/email/utils.py:5(<module>)
      367    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:1099(create)
     3981    0.006    0.000    0.023    0.000 /usr/lib/python3.4/site-packages/numpy/core/numeric.py:464(asanyarray)
        1    0.000    0.000    0.023    0.023 /usr/lib/python3.4/site-packages/matplotlib/text.py:3(<module>)
        4    0.000    0.000    0.022    0.006 /usr/lib/python3.4/site-packages/matplotlib/spines.py:148(register_axis)
   136/96    0.001    0.000    0.022    0.000 /usr/lib/python3.4/site-packages/matplotlib/spines.py:389(get_spine_transform)
     2398    0.004    0.000    0.022    0.000 {method 'all' of 'numpy.ndarray' objects}
   144/96    0.000    0.000    0.022    0.000 /usr/lib/python3.4/site-packages/matplotlib/spines.py:142(_ensure_position_is_set)
        8    0.000    0.000    0.021    0.003 /usr/lib/python3.4/site-packages/matplotlib/spines.py:349(set_position)
     3760    0.008    0.000    0.021    0.000 <frozen importlib._bootstrap>:50(_path_join)
        1    0.000    0.000    0.021    0.021 /usr/lib/python3.4/site-packages/matplotlib/font_manager.py:21(<module>)
       99    0.001    0.000    0.020    0.000 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:611(__init__)
      200    0.000    0.000    0.020    0.000 /usr/lib/python3.4/site-packages/matplotlib/markers.py:206(set_fillstyle)
   458/88    0.005    0.000    0.018    0.000 /usr/lib/python3.4/sre_compile.py:70(_compile)
15879/15878    0.011    0.000    0.018    0.000 {built-in method isinstance}
      453    0.003    0.000    0.018    0.000 /usr/lib/python3.4/site-packages/matplotlib/path.py:103(__init__)
     2398    0.002    0.000    0.018    0.000 /usr/lib/python3.4/site-packages/numpy/core/_methods.py:40(_all)
      367    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
        1    0.000    0.000    0.018    0.018 /usr/lib/python3.4/site-packages/numpy/testing/utils.py:4(<module>)
        1    0.000    0.000    0.017    0.017 /usr/lib/python3.4/unittest/case.py:1(<module>)
      368    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap>:1621(get_data)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.4/site-packages/matplotlib/dates.py:111(<module>)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.4/inspect.py:27(<module>)
     1711    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:68(_path_stat)
    16/14    0.000    0.000    0.016    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:528(_get_tick1line)
     4030    0.003    0.000    0.015    0.000 /usr/lib/python3.4/sre_parse.py:220(get)
        1    0.000    0.000    0.015    0.015 /usr/lib/python3.4/site-packages/matplotlib/ticker.py:143(<module>)
